"eext__Created_on__c","eext__Last_login__c","eext__License__c","eext__Permission_set_licenses__c","eext__Profile__c","eext__Status__c","eext__Time_zone__c","eext__User_organization__r.eext__ExternalId__c","eext__X1_day_activity__c","eext__X1_day_login_count__c","eext__X1_month_activity__c","eext__X1_month_login_count__c","eext__X1_quarter_login_count__c","eext__X1_week_activity__c","eext__X1_week_login_count__c","eext__X2_week_activity__c","eext__X2_weeks_login_count__c","eext__X3_day_activity__c","eext__X3_day_login_count__c"
"2024-04-08","2024-08-01","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","3","","Low activity","2","Low activity","2","No activity","0"
"2023-03-16","2024-08-02","Salesforce","","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","2","","Low activity","2","Low activity","2","No activity","0"
"2023-08-22","2024-08-02","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Medium activity","16","","Medium activity","5","Medium activity","12","No activity","0"
"2024-06-25","2024-07-23","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","1","","No activity","0","Low activity","1","No activity","0"
"2023-08-23","2024-08-02","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Medium activity","11","","Medium activity","6","Medium activity","9","No activity","0"
"2024-03-19","2024-03-19","Salesforce","","Consulta/Visualizacion Reclamos","Asleep","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2023-08-11","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Medium activity","2","High activity","25","","Medium activity","7","High activity","19","Low activity","2"
"2023-08-15","2024-07-30","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Medium activity","10","","Low activity","1","Medium activity","7","No activity","0"
"2024-06-26","2024-06-26","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2024-03-04","2024-07-29","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","1","","No activity","0","Low activity","1","No activity","0"
"2024-05-17","2024-07-31","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","2","","Low activity","1","Low activity","1","No activity","0"
"2023-08-17","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Low activity","9","","Low activity","2","Low activity","3","Low activity","1"
"2024-05-21","2024-08-05","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","Low activity","1","Low activity","4","","Low activity","2","Low activity","2","Low activity","1"
"2022-04-25","2024-07-30","Salesforce","","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","1","","Low activity","1","Low activity","1","No activity","0"
"2022-12-27","2022-12-27","Salesforce","","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2021-12-17","2024-08-05","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","21","","Medium activity","7","Medium activity","12","Low activity","1"
"2023-01-09","2023-03-23","Salesforce","","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2024-03-06","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","14","","Low activity","4","Medium activity","9","Low activity","1"
"2023-08-10","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","16","","Medium activity","7","Medium activity","11","Low activity","1"
"2024-03-06","2024-05-31","Salesforce","","Consulta/Visualizacion Reclamos","Active","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2024-03-04","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","15","","Low activity","4","Medium activity","8","Low activity","1"
"2024-03-11","2024-06-24","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2024-05-06","2024-08-05","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","Medium activity","2","High activity","34","","Medium activity","10","High activity","23","Low activity","2"
"2024-03-01","2024-08-01","Salesforce","","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Medium activity","10","","Low activity","1","Low activity","6","No activity","0"
"2023-08-30","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","High activity","28","","Medium activity","6","Medium activity","14","Low activity","1"
"2023-09-01","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","High activity","24","","Medium activity","5","Medium activity","11","Low activity","1"
"2024-08-01","2024-08-05","Salesforce","","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Low activity","3","","Low activity","3","Low activity","3","Low activity","1"
"2024-02-29","2024-05-27","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2024-07-15","2024-07-15","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","3","","No activity","0","No activity","0","No activity","0"
"2021-12-15","2024-08-05","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","Low activity","1","High activity","23","","Medium activity","5","Medium activity","12","Low activity","1"
"2024-07-04","2024-07-04","Salesforce","","Consulta/Visualizacion Reclamos","Active","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2022-04-13","2024-08-05","Salesforce","","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","Medium activity","2","High activity","23","","Medium activity","7","Medium activity","15","Low activity","2"
"2023-08-11","2024-07-24","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","4","","No activity","0","Low activity","2","No activity","0"
"2024-05-20","2024-07-31","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","7","","Low activity","2","Low activity","3","No activity","0"
"2023-09-07","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Medium activity","2","Medium activity","19","","Medium activity","6","Medium activity","7","Low activity","2"
"2021-12-14","2023-06-30","Salesforce","","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2024-04-29","2024-07-10","Salesforce","","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","4","","No activity","0","No activity","0","No activity","0"
"2022-07-14","","Salesforce","","Minimum Access - Salesforce","Never logged in","","a0o7Q000007vgqfQAA","","","","","","","","","","",""
"2024-03-12","2024-07-26","Salesforce","","Consulta/Visualizacion Reclamos","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","5","","No activity","0","Low activity","2","No activity","0"
"2024-04-26","2024-07-26","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","3","","No activity","0","Low activity","3","No activity","0"
"2023-11-27","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","18","","Medium activity","6","Medium activity","13","Low activity","1"
"2023-08-24","2024-07-17","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","1","","No activity","0","No activity","0","No activity","0"
"2024-05-23","2024-08-05","Salesforce","","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Medium activity","2","Medium activity","18","","Medium activity","6","Medium activity","12","Low activity","2"
"2024-05-03","2024-07-26","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","5","","No activity","0","Low activity","3","No activity","0"
"2023-10-06","2024-08-02","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","High activity","34","","Medium activity","7","High activity","18","No activity","0"
"2023-03-16","2023-08-08","Salesforce","","System Administrator","Asleep","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2024-03-01","2024-08-02","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","4","","Low activity","3","Low activity","3","No activity","0"
"2023-08-24","2024-08-02","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Medium activity","11","","Low activity","3","Low activity","3","No activity","0"
"2024-04-05","2024-08-05","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","Low activity","1","Low activity","2","","Low activity","1","Low activity","1","Low activity","1"
"2022-05-05","2024-05-22","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2023-08-24","2024-08-01","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","2","","Low activity","1","Low activity","1","No activity","0"
"2023-08-10","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","16","","Medium activity","9","Medium activity","13","Low activity","1"
"2023-08-10","2024-08-05","Salesforce","","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","12","","Low activity","1","Low activity","6","Low activity","1"
"2024-05-16","2024-05-17","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2024-03-07","2024-07-18","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","1","","No activity","0","No activity","0","No activity","0"
"2024-03-04","2024-07-31","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","2","","Low activity","2","Low activity","2","No activity","0"
"2024-05-22","2024-05-22","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2021-12-15","2024-08-05","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","18","","Medium activity","5","Medium activity","8","Low activity","1"
"2023-12-27","2024-07-26","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","6","","No activity","0","Low activity","3","No activity","0"
"2023-08-18","2024-08-05","Salesforce","","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Medium activity","2","High activity","28","","Medium activity","7","Medium activity","16","Low activity","2"
"2023-08-16","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Low activity","7","","Low activity","1","Low activity","3","Low activity","1"
"2023-08-18","2024-08-01","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","6","","Low activity","2","Low activity","2","No activity","0"
"2024-03-26","2024-07-29","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","7","","No activity","0","Low activity","3","No activity","0"
"2023-08-18","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","12","","Low activity","3","Low activity","6","Low activity","1"
"2024-03-26","2024-03-26","Salesforce","Action Plans,","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2023-08-24","2024-08-02","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Medium activity","17","","Medium activity","5","Medium activity","11","No activity","0"
"2024-03-14","2024-05-16","Salesforce","","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2024-05-24","2024-05-24","Salesforce","","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2023-04-27","2024-07-15","Salesforce","","Minimum Access - Salesforce - Form Areas","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","3","","No activity","0","No activity","0","No activity","0"
"2024-03-05","2024-05-16","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2023-09-14","2024-08-02","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Medium activity","17","","Low activity","3","Medium activity","8","No activity","0"
"2022-05-03","2024-02-20","Salesforce","","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2023-12-28","2024-05-30","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2024-05-21","2024-07-15","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","5","","No activity","0","No activity","0","No activity","0"
"2024-04-30","2024-04-30","Salesforce","Action Plans,","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2023-08-11","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Medium activity","2","Medium activity","21","","Medium activity","5","Medium activity","10","Low activity","2"
"2022-03-29","2024-08-05","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","Low activity","1","High activity","26","","Medium activity","5","Medium activity","12","Low activity","1"
"2024-02-28","2024-07-30","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","4","","Low activity","1","Low activity","3","No activity","0"
"2024-03-07","2024-07-08","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","2","","No activity","0","No activity","0","No activity","0"
"2024-02-21","2024-07-31","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","7","","Low activity","1","Low activity","4","No activity","0"
"2023-12-20","2024-06-24","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2022-07-14","","Salesforce","","Minimum Access - Salesforce","Never logged in","","a0o7Q000007vgqfQAA","","","","","","","","","","",""
"2023-08-11","2024-08-02","Salesforce","","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","7","","Low activity","1","Low activity","2","No activity","0"
"2024-03-06","2024-05-16","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2024-04-26","2024-08-01","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","5","","Low activity","4","Low activity","5","No activity","0"
"2023-09-11","2024-08-05","Salesforce","","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","High activity","30","","Low activity","4","Medium activity","12","Low activity","1"
"2024-03-01","2024-06-04","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2024-03-06","2024-06-13","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2024-03-27","2024-08-02","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","3","","Low activity","1","Low activity","1","No activity","0"
"2024-03-06","2024-08-02","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","7","","Low activity","3","Low activity","6","No activity","0"
"2021-12-21","2024-08-05","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","21","","Low activity","4","Medium activity","9","Low activity","1"
"2024-04-29","2024-07-15","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","7","","No activity","0","No activity","0","No activity","0"
"2024-03-27","2024-03-27","Salesforce","Action Plans,","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2024-03-06","2024-05-16","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2022-05-03","2024-06-12","Salesforce","","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2024-04-23","2024-07-31","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","5","","Low activity","1","Low activity","5","No activity","0"
"2024-04-24","2024-04-24","Salesforce","Action Plans,","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2023-08-11","2024-08-02","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","9","","Low activity","1","Low activity","4","No activity","0"
"2024-07-17","2024-08-01","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","3","","Low activity","1","Low activity","2","No activity","0"
"2022-05-05","2022-05-05","Salesforce","Action Plans,","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2024-03-06","2024-07-19","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","2","","No activity","0","No activity","0","No activity","0"
"2024-02-26","2024-07-04","Salesforce","","Consulta/Visualizacion Reclamos","Active","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2023-12-26","2024-01-23","Salesforce","Action Plans,","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2022-04-27","2024-08-05","Salesforce","","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","Low activity","1","Low activity","4","","Low activity","1","Low activity","2","Low activity","1"
"2023-08-24","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","11","","Low activity","4","Medium activity","8","Low activity","1"
"2022-03-28","2024-08-05","Salesforce","","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","12","","Low activity","4","Low activity","6","Low activity","1"
"2024-03-18","2024-03-18","Salesforce","","Consulta/Visualizacion Reclamos","Asleep","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2022-05-31","2024-05-02","Salesforce","Action Plans,","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2024-06-04","2024-07-30","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","2","","Low activity","1","Low activity","1","No activity","0"
"2024-04-26","2024-07-29","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","3","","No activity","0","Low activity","1","No activity","0"
"2024-05-17","2024-06-24","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2023-08-17","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","21","","Medium activity","5","Medium activity","12","Low activity","1"
"2024-06-05","2024-06-28","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2022-07-14","2024-07-02","Salesforce","","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2024-03-18","2024-06-14","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2022-05-03","2022-05-03","Salesforce","","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2023-01-25","2023-06-01","Salesforce","","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2024-03-27","2024-07-10","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","1","","No activity","0","No activity","0","No activity","0"
"2024-03-22","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","22","","Low activity","4","Medium activity","11","Low activity","1"
"2023-08-08","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Medium activity","2","Medium activity","18","","Medium activity","7","Medium activity","13","Low activity","2"
"2023-08-24","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Low activity","6","","Low activity","4","Low activity","4","Low activity","1"
"2024-05-13","2024-07-03","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2024-03-06","2024-07-02","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","No activity","0","","No activity","0","No activity","0","No activity","0"
"2024-02-26","2024-08-02","Salesforce","","Consulta/Visualizacion Reclamos","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","3","","Low activity","2","Low activity","3","No activity","0"
"2024-03-08","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Low activity","4","","Low activity","2","Low activity","3","Low activity","1"
"2024-03-07","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Low activity","4","","Low activity","2","Low activity","3","Low activity","1"
"2024-04-05","2024-08-01","Salesforce","Action Plans,","Minimum Access - Salesforce","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","3","","Low activity","2","Low activity","3","No activity","0"
"2024-03-07","2024-07-29","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","No activity","0","Low activity","7","","No activity","0","Low activity","4","No activity","0"
"2022-07-14","2024-01-22","Salesforce","","Minimum Access - Salesforce","Asleep","","a0o7Q000007vgqfQAA","No activity","","No activity","","","No activity","","No activity","","No activity",""
"2023-09-20","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Medium activity","2","High activity","24","","Medium activity","7","Medium activity","14","Low activity","2"
"2024-03-07","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","14","","Medium activity","5","Medium activity","10","Low activity","1"
"2023-08-15","2024-08-05","Salesforce","Action Plans,","DWP_Base_Minimun_Access","Active","","a0o7Q000007vgqfQAA","Low activity","1","Medium activity","13","","Medium activity","5","Medium activity","9","Low activity","1"
